low_decor,high_decor,low_n,high_n,low_back,high_back,low_spb,high_spb,low_spm,high_spm,low_sp_phi,high_sp_phi,low_prob,high_prob,fitness
0.0,100000.0,0,30,0,5,0.0,100.0,-0.001,100.0,-1000.0,1000.0,0.0,1.0,0.9214274195427904
0.0,100000.0,0,30,0,5,0.0,100.0,-0.001,100.0,-1000.0,1000.0,0.0,1.0,0.9232690486956594
0.0,100000.0,0,30,0,5,0.0,100.0,-0.001,100.0,-1000.0,1000.0,0.0,1.0,0.9243383986958088
0.0,100000.0,0,30,0,5,0.0,100.0,-0.001,100.0,-1000.0,1000.0,0.0,1.0,0.9243383986958088
0.0,100000.0,0,30,0,5,0.0,100.0,-0.001,100.0,-1000.0,1000.0,0.0,1.0,0.9243383986958088
0.0,100000.0,0,30,0,5,0.0,100.0,-0.001,100.0,-1000.0,1000.0,0.0,1.0,0.9251258844636148
0.0,100000.0,0,30,0,5,0.0,100.0,-0.001,100.0,-1000.0,1000.0,0.0,1.0,0.9277738881216782
0.0,100000.0,0,30,0,5,0.0,100.0,-0.001,100.0,-1000.0,1000.0,0.0,1.0,0.930638853165699
0.0,100000.0,0,30,0,5,0.0,100.0,-0.001,100.0,-1000.0,1000.0,0.0,1.0,0.930638853165699
0.0,100000.0,0,30,0,5,0.0,100.0,-0.001,100.0,-1000.0,1000.0,0.0,1.0,0.930638853165699
0.0,100000.0,0,30,0,5,0.0,100.0,-0.001,100.0,-1000.0,1000.0,0.0,1.0,0.8578594693639285
0.0,100000.0,0,30,0,5,0.0,100.0,-0.001,100.0,-1000.0,1000.0,0.0,1.0,0.8578594693639285
0.0,100000.0,0,30,0,5,0.0,100.0,-0.001,100.0,-1000.0,1000.0,0.0,1.0,0.8794249930787765
0.0,100000.0,0,30,0,5,0.0,100.0,-0.001,100.0,-1000.0,1000.0,0.0,1.0,0.8794249930787765
0.0,100000.0,0,30,0,5,0.0,100.0,-0.001,100.0,-1000.0,1000.0,0.0,1.0,0.8883825195279867
0.0,100000.0,0,30,0,5,0.0,100.0,-0.001,100.0,-1000.0,1000.0,0.0,1.0,0.8969854881982768
0.0,100000.0,0,30,0,5,0.0,100.0,-0.001,100.0,-1000.0,1000.0,0.0,1.0,0.8969854881982768
0.0,100000.0,0,30,0,5,0.0,100.0,-0.001,100.0,-1000.0,1000.0,0.0,1.0,0.8969854881982768
0.0,100000.0,0,30,0,5,0.0,100.0,-0.001,100.0,-1000.0,1000.0,0.0,1.0,0.9074718167056036
0.0,100000.0,0,30,0,5,0.0,100.0,-0.001,100.0,-1000.0,1000.0,0.0,1.0,0.9154059294922672
0.0,100000.0,0,30,0,5,0.0,100.0,-0.001,100.0,-1000.0,1000.0,0.0,1.0,0.943657523372492
0.0,100000.0,0,30,0,5,0.0,99.7,-0.001003,100.0,-1000.0,997.0,0.0,1.0,0.943657523372492
0.0,99700.0,0,30,0,5,0.0,99.4009,-0.001003,99.7,-1003.0,997.0,0.0,0.997,0.943657523372492
0.0,99400.9,0,30,0,5,0.0,99.4009,-0.001003,99.4009,-1003.0,994.009,0.0,0.997,0.9569003509831708
0.0,99400.9,0,30,0,5,0.0,99.4009,-0.001003,99.1026973,-1006.009,994.009,0.0,0.997,0.9569003509831708
0.0,99400.9,0,30,0,5,0.0,99.1026973,-0.001006009,99.1026973,-1009.027027,994.009,0.0,0.997,0.971081353412902
0.0,99102.6973,0,30,0,5,0.0,98.8053892081,-0.001009027027,99.1026973,-1012.054108081,994.009,0.0,0.994009,0.9766238376760744
0.0,98805.3892081,0,30,0,5,0.0,98.5089730404757,-0.001009027027,98.8053892081,-1012.054108081,991.026973,0.0,0.994009,0.9766238376760744
0.0,98508.9730404757,0,30,0,5,0.0,98.5089730404757,-0.001012054108081,98.8053892081,-1015.090270405243,991.026973,0.0,0.991026973,0.9882159078188392
0.0,98508.9730404757,0,30,0,5,0.0,98.21344612135428,-0.0010150902704052,98.8053892081,-1018.1355412164588,991.026973,0.0,0.988053892081,0.9907406220533466
0.0,100000.0,0,30,0,5,0.0,100.0,-0.001,100.0,-1000.0,1000.0,0.0,1.0,0.9664069514921892
0.0,100000.0,0,30,0,5,0.0,95.0,-0.001,95.0,-1050.0,1000.0,0.0,1.0,0.9664069514921892
0.0,100000.0,0,30,0,5,0.0,95.0,-0.001,90.25,-1102.5,1000.0,0.0,0.95,1.0326831433812371
0.0,95000.0,0,30,0,5,0.0,90.25,-0.00105,90.25,-1157.625,1000.0,0.0,0.9025,1.0326831433812371
0.0,90250.0,0,30,0,5,0.0,85.7375,-0.0011025,90.25,-1215.50625,1000.0,0.0,0.9025,1.0569582566556344
0.0,90250.0,0,30,0,5,0.0,81.450625,-0.001157625,90.25,-1215.50625,950.0,0.0,0.9025,1.0569582566556344
0.0,85737.5,0,30,0,5,0.0,77.37809375,-0.001157625,85.7375,-1276.2815624999998,950.0,0.0,0.857375,1.0569582566556344
0.0,85737.5,0,30,0,5,0.0,73.5091890625,-0.001157625,81.450625,-1340.0956406249998,950.0,0.0,0.857375,1.0569582566556344
0.0,85737.5,0,30,0,5,0.0,73.5091890625,-0.00121550625,81.450625,-1340.0956406249998,902.5,0.0,0.857375,1.0569582566556344
0.0,81450.625,0,30,0,5,0.0,73.5091890625,-0.0012762815625,81.450625,-1407.1004226562495,902.5,0.0,0.857375,1.0569582566556344
0.0,100000.0,0,30,0,5,0.0,100.0,-0.001,100.0,-1000.0,1000.0,0.0,1.0,0.8883825195279867
0.0,100000.0,0,30,0,5,0.0,95.0,-0.001,95.0,-1000.0,950.0,0.0,0.95,0.8969854881982768
0.0,100000.0,0,30,0,5,0.0,95.0,-0.00105,95.0,-1000.0,902.5,0.0,0.95,0.8969854881982768
0.0,100000.0,0,30,0,5,0.0,90.25,-0.0011025,95.0,-1000.0,857.375,0.0,0.95,0.8969854881982768
0.0,100000.0,0,30,0,5,0.0,90.25,-0.001157625,95.0,-1050.0,857.375,0.0,0.95,0.9074718167056036
0.0,100000.0,0,30,0,5,0.0,85.7375,-0.001157625,90.25,-1102.5,857.375,0.0,0.9025,0.9154059294922672
0.0,100000.0,0,30,0,5,0.0,85.7375,-0.00121550625,90.25,-1157.625,857.375,0.0,0.857375,0.9231683703534868
0.0,100000.0,0,30,0,5,0.0,81.450625,-0.0012762815625,90.25,-1157.625,814.50625,0.0,0.81450625,0.9232690486956594
0.0,100000.0,0,30,0,5,0.0,81.450625,-0.001340095640625,90.25,-1157.625,773.7809375,0.0,0.7737809375,0.9232690486956594
0.0,95000.0,0,30,0,5,0.0,81.450625,-0.0014071004226562,90.25,-1157.625,735.091890625,0.0,0.7737809375,0.9232690486956594
0.0,100000.0,0,30,0,5,0.0,100.0,-0.001,100.0,-1000.0,1000.0,0.0,1.0,0.9383475484776292
0.0,100000.0,0,30,0,5,0.0,95.0,-0.00105,100.0,-1000.0,950.0,0.0,1.0,0.9499286127793664
0.0,100000.0,0,30,0,5,0.0,95.0,-0.00105,95.0,-1050.0,950.0,0.0,1.0,0.9643538418047568
0.0,95000.0,0,30,0,5,0.0,90.25,-0.00105,90.25,-1102.5,950.0,0.0,1.0,0.9853384673563856
0.0,95000.0,0,30,0,5,0.0,85.7375,-0.0011025,90.25,-1157.625,950.0,0.0,0.95,1.0092687199925556
0.0,90250.0,0,30,0,5,0.0,81.450625,-0.0011025,85.7375,-1215.50625,950.0,0.0,0.9025,1.0092687199925556
0.0,85737.5,0,30,0,5,0.0,77.37809375,-0.0011025,81.450625,-1276.2815624999998,950.0,0.0,0.9025,1.0344237854938212
0.0,85737.5,0,30,0,5,0.0,77.37809375,-0.0011025,77.37809375,-1276.2815624999998,902.5,0.0,0.9025,1.068681959670298
0.0,81450.625,0,30,0,5,0.0,73.5091890625,-0.001157625,77.37809375,-1276.2815624999998,857.375,0.0,0.9025,1.0797229824403831
0.0,77378.09375,0,30,0,5,0.0,69.833729609375,-0.00121550625,77.37809375,-1276.2815624999998,814.50625,0.0,0.9025,1.0860156199009032
0.0,100000.0,0,30,0,5,0.0,100.0,-0.001,100.0,-1000.0,1000.0,0.0,1.0,0.9217356854596448
0.0,100000.0,0,30,0,5,0.0,95.0,-0.00105,100.0,-1050.0,1000.0,0.0,0.95,0.9243383986958088
0.0,100000.0,0,30,0,5,0.0,90.25,-0.0011025,100.0,-1050.0,950.0,0.0,0.9025,0.9243383986958088
0.0,100000.0,0,30,0,5,0.0,90.25,-0.001157625,100.0,-1102.5,950.0,0.0,0.857375,0.925901951269774
0.0,100000.0,0,30,0,5,0.0,90.25,-0.00121550625,100.0,-1102.5,902.5,0.0,0.857375,0.926243675533583
0.0,95000.0,0,30,0,5,0.0,90.25,-0.00121550625,95.0,-1102.5,857.375,0.0,0.857375,0.9267478628390902
0.0,90250.0,0,30,0,5,0.0,90.25,-0.0012762815625,95.0,-1102.5,814.50625,0.0,0.857375,0.9267478628390902
0.0,85737.5,0,30,0,5,0.0,90.25,-0.0012762815625,90.25,-1157.625,814.50625,0.0,0.81450625,0.9280102544397276
0.0,85737.5,0,30,0,5,0.0,90.25,-0.001340095640625,90.25,-1215.50625,814.50625,0.0,0.7737809375,0.9280102544397276
0.0,85737.5,0,30,0,5,0.0,90.25,-0.0014071004226562,90.25,-1276.2815624999998,814.50625,0.0,0.7737809375,0.9280102544397276
0.0,100000.0,0,30,0,5,0.0,100.0,-0.001,100.0,-1000.0,1000.0,0.0,1.0,0.9188320184311636
0.0,100000.0,0,30,0,5,0.0,75.0,-0.001,75.0,-1250.0,1000.0,0.0,0.75,0.9202030257693672
0.0,75000.0,0,30,0,5,0.0,75.0,-0.00125,75.0,-1562.5,1000.0,0.0,0.75,0.9216156025998196
0.0,75000.0,0,30,0,5,0.0,75.0,-0.0015625,75.0,-1953.125,1000.0,0.0,0.75,0.9249833889034054
0.0,75000.0,0,30,0,5,0.0,56.25,-0.0015625,56.25,-2441.40625,1000.0,0.0,0.75,0.9249833889034054
0.0,75000.0,0,30,0,5,0.0,42.1875,-0.001953125,56.25,-3051.7578125,1000.0,0.0,0.5625,0.9249833889034054
0.0,75000.0,0,30,0,5,0.0,42.1875,-0.001953125,42.1875,-3051.7578125,750.0,0.0,0.5625,0.9249833889034054
0.0,56250.0,0,30,0,5,0.0,31.640625,-0.00244140625,42.1875,-3051.7578125,562.5,0.0,0.421875,0.9249833889034054
0.0,56250.0,0,30,0,5,0.0,31.640625,-0.0030517578125,42.1875,-3051.7578125,421.875,0.0,0.31640625,0.9249833889034054
0.0,42187.5,0,30,0,5,0.0,31.640625,-0.0030517578125,31.640625,-3814.697265625,421.875,0.0,0.2373046875,0.9249833889034054
0.0,100000.0,0,30,0,5,0.0,100.0,-0.001,100.0,-1000.0,1000.0,0.0,1.0,0.9997639813888984
0.0,100000.0,0,30,0,5,0.0,100.0,-0.00125,100.0,-1250.0,1000.0,0.0,1.0,1.0059198838565913
0.0,75000.0,0,30,0,5,0.0,75.0,-0.00125,75.0,-1250.0,750.0,0.0,0.75,1.0098311469804666
0.0,56250.0,0,30,0,5,0.0,56.25,-0.00125,56.25,-1250.0,562.5,0.0,0.5625,1.0528216955068277
0.0,56250.0,0,30,0,5,0.0,56.25,-0.0015625,56.25,-1562.5,562.5,0.0,0.5625,1.0696418179784437
0.0,42187.5,0,30,0,5,0.0,42.1875,-0.0015625,42.1875,-1562.5,421.875,0.0,0.421875,1.0758000086601285
0.0,42187.5,0,30,0,5,0.0,42.1875,-0.001953125,42.1875,-1953.125,421.875,0.0,0.421875,1.0758000086601285
0.0,42187.5,0,30,0,5,0.0,42.1875,-0.00244140625,42.1875,-2441.40625,421.875,0.0,0.421875,1.0758000086601285
0.0,31640.625,0,30,0,5,0.0,31.640625,-0.00244140625,31.640625,-2441.40625,316.40625,0.0,0.31640625,1.080865800910614
0.0,23730.46875,0,30,0,5,0.0,23.73046875,-0.00244140625,23.73046875,-2441.40625,237.3046875,0.0,0.2373046875,1.1059078916754377
0.0,100000.0,0,30,0,5,0.0,100.0,-0.001,100.0,-1000.0,1000.0,0.0,1.0,1.0046683687771816
0.0,100000.0,0,30,0,5,0.0,100.0,-0.00125,100.0,-1250.0,1000.0,0.0,1.0,1.0046683687771816
0.0,100000.0,0,30,0,5,0.0,100.0,-0.0015625,100.0,-1562.5,1000.0,0.0,1.0,1.0046683687771816
0.0,100000.0,0,30,0,5,0.0,100.0,-0.001953125,100.0,-1953.125,1000.0,0.0,1.0,1.012524448568331
0.0,75000.0,0,30,0,5,0.0,75.0,-0.001953125,75.0,-1953.125,750.0,0.0,0.75,1.012524448568331
0.0,56250.0,0,30,0,5,0.0,56.25,-0.001953125,56.25,-1953.125,562.5,0.0,0.5625,1.012524448568331
0.0,56250.0,0,30,0,5,0.0,56.25,-0.00244140625,56.25,-2441.40625,562.5,0.0,0.5625,1.012524448568331
0.0,42187.5,0,30,0,5,0.0,42.1875,-0.00244140625,42.1875,-2441.40625,421.875,0.0,0.421875,1.012524448568331
0.0,42187.5,0,30,0,5,0.0,42.1875,-0.0030517578125,42.1875,-3051.7578125,421.875,0.0,0.421875,1.012524448568331
0.0,31640.625,0,30,0,5,0.0,31.640625,-0.0030517578125,31.640625,-3051.7578125,316.40625,0.0,0.31640625,1.012524448568331
